,City,State,Address,lon,lat,Region,Team
312,Durham,NH,"Durham, NH",-70.9264393,43.1339545,NewEngland,New Hampshire
313,Newark,NJ,"Newark, NJ",-74.1723667,40.735657,MidAtlantic,New Jersey Tech
314,Albuquerque,NM,"Albuquerque, NM",-106.650422,35.0843859,SouthWest,New Mexico
315,Las Cruces,NM,"Las Cruces, NM",-106.7636538,32.3199396,SouthWest,New Mexico State
316,New Rochelle,NY,"New Rochelle, NY",-73.7823549,40.9114882,MidAtlantic,New Rochelle
317,Niagara University,NY,"Niagara University, NY",-79.0353197,43.1365152,MidAtlantic,Niagara
318,Minneapolis,MN,"Minneapolis, MN",-93.2650108,44.977753,MidWest,North Central
319,Jacksonville,FL,"Jacksonville, FL",-81.655651,30.3321838,South,North Florida
320,Denton,TX,"Denton, TX",-97.1330683,33.2148412,SouthWest,North Texas
321,Boston,MA,"Boston, MA",-71.0588801,42.3600825,NewEngland,Northeastern
322,Flagstaff,AZ,"Flagstaff, AZ",-111.651302,35.1982836,SouthWest,Northern Arizona
323,Greeley,CO,"Greeley, CO",-104.7091322,40.4233142,West,Northern Colorado
324,Cedar Falls,IA,"Cedar Falls, IA",-92.4453161,42.5348993,MidWest,Northern Iowa
325,Aberdeen,SD,"Aberdeen, SD",-98.4864829,45.4646985,West,Northern State
326,Evanston,IL,"Evanston, IL",-87.6876969,42.0450722,MidWest,Northwestern
327,Northfield,VT,"Northfield, VT",-72.6564986,44.1511723,NewEngland,Norwich
328,Notre Dame,IN,"Notre Dame, IN",-86.2379328,41.7001908,MidWest,Notre Dame
329,Cleveland,OH,"Cleveland, OH",-81.6943605,41.49932,MidWest,Notre Dame College
330,Ft. Lauderdale,FL,"Ft. Lauderdale, FL",-80.1373174,26.1224386,South,Nova Southeastern
331,Rochester,MI,"Rochester, MI",-83.1338214,42.680588,MidWest,Oakland
332,Oberlin,OH,"Oberlin, OH",-82.2173786,41.2939386,MidWest,Oberlin
333,Los Angeles,CA,"Los Angeles, CA",-118.2436849,34.0522342,Pacific,Occidental
334,Athens,OH,"Athens, OH",-82.1012554,39.3292396,MidWest,Ohio
335,Ada,OH,"Ada, OH",-83.8227148,40.7694969,MidWest,Ohio Northern
336,Columbus,OH,"Columbus, OH",-82.9987942,39.9611755,MidWest,Ohio State
337,Delaware,OH,"Delaware, OH",-83.067965,40.2986724,MidWest,Ohio Wesleyan
338,Shawnee,OK,"Shawnee, OK",-96.9253004,35.3272928,West,Oklahoma Baptist
339,Oklahoma City,OK,"Oklahoma City, OK",-97.5164276,35.4675602,West,Oklahoma Christian
340,Norfolk,VA,"Norfolk, VA",-76.2858726,36.8507689,MidAtlantic,Old Dominion
341,Olivet,MI,"Olivet, MI",-84.9241542,42.4414273,MidWest,Olivet
342,Corvallis,OR,"Corvallis, OR",-123.2620435,44.5645659,Pacific,Oregon State
343,Arkadelphia,AR,"Arkadelphia, AR",-93.0537839,34.1209292,South,Ouachita Baptist
344,Clarksville,AR,"Clarksville, AR",-93.4665731,35.4714724,South,Ozarks
345,New York,NY,"New York, NY",-74.0059728,40.7127753,MidAtlantic,Pace
346,Forest Grove,OR,"Forest Grove, OR",-123.1208596,45.5263514,Pacific,Pacific
347,Tacoma,WA,"Tacoma, WA",-122.4442906,47.2528768,Pacific,Pacific Lutheran
348,Durham,NC,"Durham, NC",-78.898619,35.9940329,South,Duke
349,University Park,PA,"University Park, PA",-77.8653126,40.8147955,MidAtlantic,Penn State
350,Logan Township,PA,"Logan Township, PA",-78.4524591,40.5203157,MidAtlantic,Penn State Altoona
351,Malibu,CA,"Malibu, CA",-118.7797571,34.0259216,Pacific,Pepperdine
352,Misenheimer,NC,"Misenheimer, NC",-80.2883904,35.4848625,South,Pfeiffer
353,Bradford,PA,"Bradford, PA",-78.649163,41.9564953,MidAtlantic,Pitt-Bradford
354,Pittsburgh,PA,"Pittsburgh, PA",-79.9958864,40.4406248,MidAtlantic,Pittsburgh
355,Plymouth,NH,"Plymouth, NH",-71.6881528,43.7570196,NewEngland,Plymouth State
356,Claremont,CA,"Claremont, CA",-117.7197785,34.0966764,Pacific,Pomona-Pitzer
357,Princeton,NJ,"Princeton, NJ",-74.6672226,40.3572976,MidAtlantic,Princeton
358,Elsah,IL,"Elsah, IL",-90.3598364,38.9561594,MidWest,Principia
359,Great Falls,MT,"Great Falls, MT",-111.3007715,47.5052849,West,Providence
360,Tacoma,WA,"Tacoma, WA",-122.4442906,47.2528768,Pacific,Puget Sound
361,NA,NA,NA,NA,NA,NA,Purchase College
362,West Lafayette,IN,"West Lafayette, IN",-86.9080655,40.4258686,MidWest,Purdue
363,Charlotte,NC,"Charlotte, NC",-80.8431267,35.2270869,South,Queens
364,Rochester,NY,"Rochester, NY",-77.6088465,43.1565779,MidAtlantic,RIT
365,Mahwah,NJ,"Mahwah, NJ",-74.1435843,41.0886216,MidAtlantic,Ramapo
366,Lynchburg,VA,"Lynchburg, VA",-79.1422464,37.4137536,MidAtlantic,Randolph
367,Ashland,VA,"Ashland, VA",-77.4799837,37.7590318,MidAtlantic,Randolph Macon
368,Redlands,CA,"Redlands, CA",-117.1825381,34.0555693,Pacific,Redlands
369,Denver,CO,"Denver, CO",-104.990251,39.7392358,West,Regis
370,Troy,NY,"Troy, NY",-73.6917851,42.7284117,MidAtlantic,Rensselaer
371,Kingston,RI,"Kingston, RI",-71.5225598,41.4803791,NewEngland,Rhode Island
372,Memphis,TN,"Memphis, TN",-90.0489801,35.1495343,South,Rhodes
373,Houston,TX,"Houston, TX",-95.3698028,29.7604267,SouthWest,Rice
374,Richmond,VA,"Richmond, VA",-77.4360481,37.5407246,MidAtlantic,Richmond
375,Lawrenceville,NJ,"Lawrenceville, NJ",-74.7361013,40.3016375,MidAtlantic,Rider
376,Ripon,WI,"Ripon, WI",-88.8359447,43.8422049,MidWest,Ripon
377,Salem,VA,"Salem, VA",-80.0547626,37.2934681,MidAtlantic,Roanoke
378,Rochester,NY,"Rochester, NY",-77.6088465,43.1565779,MidAtlantic,Roberts Wesleyan
379,Rochester,NY,"Rochester, NY",-77.6088465,43.1565779,MidAtlantic,Rochester
380,Bristol,RI,"Bristol, RI",-71.2662025,41.6771101,NewEngland,Roger Williams
381,Winter Park,FL,"Winter Park, FL",-81.3392352,28.5999998,South,Rollins
382,Terre Haute,IN,"Terre Haute, IN",-87.4139092,39.4667034,MidWest,Rose-Hulman
383,Glassboro,NJ,"Glassboro, NJ",-75.1118422,39.7028923,MidAtlantic,Rowan
384,Piscataway,NJ,"Piscataway, NJ",-74.4642861,40.554887,MidAtlantic,Rutgers
385,Dallas,TX,"Dallas, TX",-96.7969879,32.7766642,SouthWest,SMU
386,Binghamton,NY,"Binghamton, NY",-75.9179738,42.0986867,MidAtlantic,SUNY Binghamton
387,Brockport,NY,"Brockport, NY",-77.9391797,43.2136713,MidAtlantic,SUNY Brockport
388,Buffalo,NY,"Buffalo, NY",-78.8783689,42.8864468,MidAtlantic,SUNY Buffalo State
389,Cobleskill,NY,"Cobleskill, NY",-74.4854172,42.677853,MidAtlantic,SUNY Cobleskill
390,Cortland,NY,"Cortland, NY",-76.1804843,42.6011813,MidAtlantic,SUNY Cortland
391,Delhi,NY,"Delhi, NY",-74.9159946,42.2781401,MidAtlantic,SUNY Delhi
392,Fredonia,NY,"Fredonia, NY",-79.3317105,42.4400576,MidAtlantic,SUNY Fredonia
393,Geneseo,NY,"Geneseo, NY",-77.816947,42.795896,MidAtlantic,SUNY Geneseo
394,Throggs Neck,NY,"Throggs Neck, NY",-73.8213213,40.818399,MidAtlantic,SUNY Maritime
395,New Paltz,NY,"New Paltz, NY",-74.0868095,41.7475933,MidAtlantic,SUNY New Paltz
396,Old Westbury,NY,"Old Westbury, NY",-73.5995717,40.7887113,MidAtlantic,SUNY Old Westbury
397,Oneonta,NY,"Oneonta, NY",-75.0637746,42.4528571,MidAtlantic,SUNY Oneonta
398,Oswego,NY,"Oswego, NY",-76.5104973,43.4553461,MidAtlantic,SUNY Oswego
399,Potsdam,NY,"Potsdam, NY",-74.9813084,44.6697805,MidAtlantic,SUNY Potsdam
400,Stony Brook,NY,"Stony Brook, NY",-73.1409429,40.9256538,MidAtlantic,SUNY Stony Brook
401,Fairfield,CT,"Fairfield, CT",-73.2612615,41.1408363,NewEngland,Sacred Heart
402,University Center,MI,"University Center, MI",-83.984501,43.5375937,MidWest,Saginaw Valley State
403,St. Joseph,MN,"St. Joseph, MN",-94.317966,45.5647724,MidWest,Saint Benedict
404,St. Bonaventure,NY,"St. Bonaventure, NY",-78.4750213,42.0803426,MidAtlantic,Saint Bonaventure
405,St. Cloud,MN,"St. Cloud, MN",-94.1632404,45.5579451,MidWest,Saint Cloud State
406,Fort Wayne,IN,"Fort Wayne, IN",-85.1393513,41.079273,MidWest,Saint Francis
407,Loretto,PA,"Loretto, PA",-78.630296,40.5031263,MidAtlantic,Saint Francis PA
408,Old Westbury,NY,"Old Westbury, NY",-73.5995717,40.7887113,MidAtlantic,Saint Joseph CT
409,Brooklyn,NY,"Brooklyn, NY",-73.9441579,40.6781784,MidAtlantic,Saint Joseph's Brooklyn
410,Patchogue,NY,"Patchogue, NY",-73.019343,40.7659783,MidAtlantic,Saint Joseph's Long Island
411,Standish,ME,"Standish, ME",-70.5509356,43.7355927,NewEngland,Saint Joseph's ME
412,Canton,NY,"Canton, NY",-75.1690942,44.5956163,MidAtlantic,Saint Lawrence
413,Saint Leo,FL,"Saint Leo, FL",-82.2584191,28.3372251,South,Saint Leo
414,St. Louis,MO,"St. Louis, MO",-90.1994042,38.6270025,MidWest,Saint Louis
415,Winona,MN,"Winona, MN",-91.6663523,44.0553908,MidWest,Saint Mary's MN
416,De Pere,WI,"De Pere, WI",-88.0603806,44.4488805,MidWest,Saint Norbert
417,Jersey City,NJ,"Jersey City, NJ",-74.0431435,40.7177545,MidAtlantic,Saint Peter's
418,Albany,NY,"Albany, NY",-73.7562317,42.6525793,MidAtlantic,Saint Rose
419,Latrobe,PA,"Latrobe, PA",-79.3794811,40.3211808,MidAtlantic,Saint Vincent
420,Salem,WV,"Salem, WV",-80.5589856,39.2828653,MidAtlantic,Salem
421,NA,NA,NA,NA,NA,NA,Salem University
422,Salisbury,MD,"Salisbury, MD",-75.5993692,38.3606736,MidAtlantic,Salisbury
423,San Diego,CA,"San Diego, CA",-117.1610838,32.715738,Pacific,San Diego
424,San Diego,CA,"San Diego, CA",-117.1610838,32.715738,Pacific,San Diego State
425,San Jose,CA,"San Jose, CA",-121.8863286,37.3382082,Pacific,San Jose State
426,Bronxville,NY,"Bronxville, NY",-73.8320784,40.9381544,MidAtlantic,Sarah Lawrence
427,Scranton,PA,"Scranton, PA",-75.6624122,41.408969,MidAtlantic,Scranton
428,Seattle,WA,"Seattle, WA",-122.3320708,47.6062095,Pacific,Seattle
429,South Orange,NJ,"South Orange, NJ",-74.2609903,40.7489277,MidAtlantic,Seton Hall
430,Sewanee,TN,"Sewanee, TN",-85.9210899,35.2031373,South,Sewanee
431,Shippensburg,PA,"Shippensburg, PA",-77.5202647,40.0506453,MidAtlantic,Shippensburg
432,Loudonville,NY,"Loudonville, NY",-73.7548424,42.7048009,MidAtlantic,Siena
433,Boston,MA,"Boston, MA",-71.0588801,42.3600825,NewEngland,Simmons
434,Burnaby,BC,"Burnaby, BC",-122.9805104,49.2488091,Pacific,Simon Fraser
435,Redding,CA,"Redding, CA",-122.3916754,40.5865396,Pacific,Simpson
436,Sioux Falls,SD,"Sioux Falls, SD",-96.728333,43.5473028,West,Sioux Falls
437,Saratoga Springs,NY,"Saratoga Springs, NY",-73.7845651,43.0831301,MidAtlantic,Skidmore
438,Northampton,MA,"Northampton, MA",-72.6412013,42.3250896,NewEngland,Smith
439,Columbia,SC,"Columbia, SC",-81.0348144,34.0007104,South,South Carolina
440,Vermillion,SD,"Vermillion, SD",-96.9292104,42.7794417,West,South Dakota
441,Brookings,SD,"Brookings, SD",-96.7983877,44.3113573,West,South Dakota State
442,New Haven,CT,"New Haven, CT",-72.9278835,41.308274,NewEngland,Southern Connecticut State
443,Carbondale,IL,"Carbondale, IL",-89.2167501,37.7272727,MidWest,Southern Illinois
444,Georgetown,TX,"Georgetown, TX",-97.6779842,30.6332618,SouthWest,Southwestern
445,Springfield,MA,"Springfield, MA",-72.589811,42.1014831,NewEngland,Springfield
446,Annapolis,MD,"Annapolis, MD",-76.4921829,38.9784453,MidAtlantic,St. John's
447,St. Paul,MN,"St. Paul, MN",-93.0899578,44.9537029,MidWest,St. Kate's
448,St. Marys City,MD,"St. Marys City, MD",-76.4343173,38.1872404,MidAtlantic,St. Mary's MD
449,Colchester,VT,"Colchester, VT",-73.1479068,44.5439375,NewEngland,St. Michael's
450,Northfield,MN,"Northfield, MN",-93.161604,44.4582983,MidWest,St. Olaf
451,Houston,TX,"Houston, TX",-95.3698028,29.7604267,SouthWest,St. Thomas
452,Stanford,CA,"Stanford, CA",-122.1660756,37.424106,Pacific,Stanford
453,Staten Island,NY,"Staten Island, NY",-74.1502007,40.5795317,MidAtlantic,Staten Island
454,Hoboken,NJ,"Hoboken, NJ",-74.0323626,40.7439905,MidAtlantic,Stevens
455,Stevenson,MD,"Stevenson, MD",-76.7132892,39.4105843,MidAtlantic,Stevenson
456,Selinsgrove,PA,"Selinsgrove, PA",-76.8621935,40.7989735,MidAtlantic,Susquehanna
457,Swarthmore,PA,"Swarthmore, PA",-75.3499123,39.9020565,MidAtlantic,Swarthmore
458,Sweet Briar,VA,"Sweet Briar, VA",-79.0801084,37.5565736,MidAtlantic,Sweet Briar
459,Ewing,NJ,"Ewing, NJ",-74.7909125,40.2599864,MidAtlantic,TCNJ
460,Tampa,FL,"Tampa, FL",-82.4571776,27.950575,South,Tampa
461,Knoxville,TN,"Knoxville, TN",-83.9207392,35.9606384,South,Tennessee
462,Austin,TX,"Austin, TX",-97.7430608,30.267153,SouthWest,Texas
463,College Station,TX,"College Station, TX",-96.3344068,30.627977,SouthWest,Texas A&M
464,Fort Worth,TX,"Fort Worth, TX",-97.3307658,32.7554883,SouthWest,Texas Christian
465,Odessa,TX,"Odessa, TX",-102.3676431,31.8456816,SouthWest,Texas Permian Basin
466,Crestview Hills,KY,"Crestview Hills, KY",-84.5849438,39.0272829,South,Thomas More
467,Tiffin,OH,"Tiffin, OH",-83.1779746,41.1144992,MidWest,Tiffin
468,Toledo,OH,"Toledo, OH",-83.5378674,41.6528052,MidWest,Toledo
469,Towson,MD,"Towson, MD",-76.6019125,39.4014955,MidAtlantic,Towson
470,Lexington,KY,"Lexington, KY",-84.5037164,38.0405837,South,Transylvania
471,Hartford,CT,"Hartford, CT",-72.6733723,41.7658043,NewEngland,Trinity
472,San Antonio,TX,"San Antonio, TX",-98.4936282,29.4241219,SouthWest,Trinity U.
473,Kirksville,MO,"Kirksville, MO",-92.5832496,40.1947539,MidWest,Truman State
474,Medford,MA,"Medford, MA",-71.1061639,42.4184296,NewEngland,Tufts
475,New Orleans,LA,"New Orleans, LA",-90.0715323,29.9510658,South,Tulane
476,Davis,CA,"Davis, CA",-121.7405167,38.5449065,Pacific,UC Davis
477,Santa Barbara,CA,"Santa Barbara, CA",-119.6981901,34.4208305,Pacific,UC Santa Barbara
478,NA,NA,NA,NA,NA,NA,UC Santa Curz
479,Los Angeles,CA,"Los Angeles, CA",-118.2436849,34.0522342,Pacific,UCLA
480,NA,NA,NA,NA,NA,NA,UCSD
481,Storrs,CT,"Storrs, CT",-72.2495231,41.8084314,NewEngland,UConn
482,North Dartmouth,MA,"North Dartmouth, MA",-70.9694555,41.640396,NewEngland,UM Dartmouth
483,Baltimore,MD,"Baltimore, MD",-76.6121893,39.2903848,MidAtlantic,UMBC
484,Omaha,NE,"Omaha, NE",-95.9345034,41.2565369,West,UN Omaha
485,NA,NA,NA,NA,NA,NA,UNC
486,Asheville,NC,"Asheville, NC",-82.5514869,35.5950581,South,UNC Asheville
487,Wilmington,NC,"Wilmington, NC",-77.8868117,34.2103894,South,UNC Wilmington
488,Las Vegas,NV,"Las Vegas, NV",-115.1398296,36.1699412,West,UNLV
489,Los Angeles,CA,"Los Angeles, CA",-118.2436849,34.0522342,Pacific,USC
490,NA,NA,NA,NA,NA,NA,USMMA
491,Eau Claire,WI,"Eau Claire, WI",-91.4984941,44.811349,MidWest,UW-Eau Crosse
492,Green Bay,WI,"Green Bay, WI",-88.0132958,44.5133188,MidWest,UW-Green Bay
493,La Crosse,WI,"La Crosse, WI",-91.2519017,43.8137751,MidWest,UW-La Crosse
494,Milwaukee,WI,"Milwaukee, WI",-87.9064736,43.0389025,MidWest,UW-Milwaukee
495,Oshkosh,WI,"Oshkosh, WI",-88.5426136,44.0247062,MidWest,UW-Oshkosh
496,Stevens Point,WI,"Stevens Point, WI",-89.574563,44.5235792,MidWest,UW-Stevens Point
497,Whitewater,WI,"Whitewater, WI",-88.7323272,42.8336205,MidWest,UW-Whitewater
498,Barbourville,KY,"Barbourville, KY",-83.8888138,36.8664765,South,Union
499,Urbana,OH,"Urbana, OH",-83.7524298,40.1083912,MidWest,Urbana
500,Collegeville,PA,"Collegeville, PA",-75.451571,40.1856597,MidAtlantic,Ursinus
501,Pepper Pike,OH,"Pepper Pike, OH",-81.4637295,41.4783865,MidWest,Ursuline
502,Salt Lake City,UT,"Salt Lake City, UT",-111.8910474,40.7607793,West,Utah
503,Utica,NY,"Utica, NY",-75.232664,43.100903,MidAtlantic,Utica
504,Valparaiso,IN,"Valparaiso, IN",-87.0611412,41.4730948,MidWest,Valparaiso
505,Nashville,TN,"Nashville, TN",-86.7816016,36.1626638,South,Vanderbilt
506,Poughkeepsie,NY,"Poughkeepsie, NY",-73.9209701,41.7003713,MidAtlantic,Vassar
507,Burlington,VT,"Burlington, VT",-73.212072,44.4758825,NewEngland,Vermont
508,Villanova,PA,"Villanova, PA",-75.3491813,40.0375832,MidAtlantic,Villanova
509,Charlottesville,VA,"Charlottesville, VA",-78.4766781,38.0293059,MidAtlantic,Virginia
510,Lexington,VA,"Lexington, VA",-79.4428157,37.7840208,MidAtlantic,Virginia Military Institute
511,Blacksburg,VA,"Blacksburg, VA",-80.4139393,37.2295733,MidAtlantic,Virginia Tech
512,Norfolk,VA,"Norfolk, VA",-76.2858726,36.8507689,MidAtlantic,Virginia Wesleyan
513,Crawfordsville,IN,"Crawfordsville, IN",-86.8744516,40.0411536,MidWest,Wabash
514,Staten Island,NY,"Staten Island, NY",-74.1502007,40.5795317,MidAtlantic,Wagner
515,St. Louis,MO,"St. Louis, MO",-90.1994042,38.6270025,MidWest,Wash U. MO
516,Washington,PA,"Washington, PA",-80.2461714,40.17396,MidAtlantic,Washington & Jefferson
517,Holland,MI,"Holland, MI",-86.1089301,42.7875235,MidWest,Washington College
518,Pullman,WA,"Pullman, WA",-117.1817377,46.7297771,Pacific,Washington State
519,Lexington,VA,"Lexington, VA",-79.4428157,37.7840208,MidAtlantic,Washington and Lee
520,Detroit,MI,"Detroit, MI",-83.0457538,42.331427,MidWest,Wayne State
521,Wellesley,MA,"Wellesley, MA",-71.2923877,42.296797,NewEngland,Wellesley
522,Aurora,NY,"Aurora, NY",-76.7024485,42.7539591,MidAtlantic,Wells
523,Macon,GA,"Macon, GA",-83.6324022,32.8406946,South,Wesleyan
524,West Chester,PA,"West Chester, PA",-75.6054882,39.9606643,MidAtlantic,West Chester
525,Pensacola,FL,"Pensacola, FL",-87.2169149,30.421309,South,West Florida
526,Morgantown,WV,"Morgantown, WV",-79.9558968,39.629526,MidAtlantic,West Virginia
527,Buckhannon,WV,"Buckhannon, WV",-80.2320276,38.9939872,MidAtlantic,West Virginia Wesleyan
528,Gunnison,CO,"Gunnison, CO",-106.9253207,38.5458246,West,Western Colorado
529,Danbury,CT,"Danbury, CT",-73.4540111,41.394817,NewEngland,Western Connecticut State
530,Macomb,IL,"Macomb, IL",-90.6717971,40.4592076,MidWest,Western Illinois
531,Springfield,MA,"Springfield, MA",-72.589811,42.1014831,NewEngland,Western New England
532,Westfield,MA,"Westfield, MA",-72.749538,42.1250929,NewEngland,Westfield State
533,Fulton,MO,"Fulton, MO",-91.9479586,38.8467082,MidWest,Westminster
534,Wheaton,IL,"Wheaton, IL",-88.1070127,41.8661403,MidWest,Wheaton IL
535,Norton,MA,"Norton, MA",-71.1869963,41.9667703,NewEngland,Wheaton MA
536,Walla Walla,WA,"Walla Walla, WA",-118.3430208,46.0645809,Pacific,Whitman
537,Whittier,CA,"Whittier, CA",-118.032844,33.9791793,Pacific,Whittier
538,Spokane,WA,"Spokane, WA",-117.4260465,47.6587802,Pacific,Whitworth
539,Chester,PA,"Chester, PA",-75.3557457,39.849557,MidAtlantic,Widener
540,Wilkes-Barre,PA,"Wilkes-Barre, PA",-75.8813075,41.2459149,MidAtlantic,Wilkes
541,Salem,OR,"Salem, OR",-123.0350963,44.9428975,Pacific,Willamette
542,Williamsburg,VA,"Williamsburg, VA",-76.7074571,37.2707022,MidAtlantic,William & Mary
543,Liberty,MO,"Liberty, MO",-94.4191177,39.2461138,MidWest,William Jewell
544,Wayne,NJ,"Wayne, NJ",-74.2765441,40.9253725,MidAtlantic,William Paterson
545,Raleigh,NC,"Raleigh, NC",-78.6381787,35.7795897,South,William Peace
546,Geneva,NY,"Geneva, NY",-76.985557,42.8679836,MidAtlantic,William Smith
547,Williamstown,MA,"Williamstown, MA",-73.2036898,42.7120196,NewEngland,Williams
548,New Castle,DE,"New Castle, DE",-75.5668166,39.6620397,MidAtlantic,Wilmington
549,Wingate,NC,"Wingate, NC",-80.4492319,34.9843176,South,Wingate
550,Madison,WI,"Madison, WI",-89.4012302,43.0730517,MidWest,Wisconsin
551,Springfield,OH,"Springfield, OH",-83.8088171,39.9242266,MidWest,Wittenberg
552,Wooster,OH,"Wooster, OH",-81.935143,40.8050565,MidWest,Wooster
553,Worcester,MA,"Worcester, MA",-71.8022934,42.2625932,NewEngland,Worcester Poly
554,Laramie,WY,"Laramie, WY",-105.5911007,41.3113669,West,Wyoming
555,Cincinnati,OH,"Cincinnati, OH",-84.5120196,39.1031182,MidWest,Xavier
556,New Haven,CT,"New Haven, CT",-72.9278835,41.308274,NewEngland,Yale
557,York,NE,"York, NE",-97.5920867,40.8673915,West,York
558,Youngstown,OH,"Youngstown, OH",-80.6495194,41.0997803,MidWest,Youngstown State
