,City,State,Address,lon,lat,Region,Team
75,Helena,MT,"Helena, MT",-112.0391057,46.5891452,West,Carroll
76,Jefferson City,TN,"Jefferson City, TN",-83.492396,36.122311,South,Carson-Newman
77,Kenosha,WI,"Kenosha, WI",-87.8211854,42.5847425,MidWest,Carthage
78,Cleveland,OH,"Cleveland, OH",-81.6943605,41.49932,MidWest,Case Western
79,Salisbury,NC,"Salisbury, NC",-80.4742261,35.6709727,South,Catawba
80,Washington,DC,"Washington, DC",-77.0368707,38.9071923,MidAtlantic,Catholic
81,Cazenovia,NY,"Cazenovia, NY",-75.8526915,42.9300668,MidAtlantic,Cazenovia
82,Allentown,PA,"Allentown, PA",-75.4714098,40.6022939,MidAtlantic,Cedar Crest
83,Shreveport,LA,"Shreveport, LA",-93.7501789,32.5251516,South,Centenary of Louisiana
84,New Britain,CT,"New Britain, CT",-72.7795419,41.6612104,NewEngland,Central Connecticut State
85,Danville,KY,"Danville, KY",-84.7721702,37.6456329,South,Centre College
86,Orange,CA,"Orange, CA",-117.8531007,33.7879139,Pacific,Chapman
87,Pittsburgh,PA,"Pittsburgh, PA",-79.9958864,40.4406248,MidAtlantic,Chatham
88,Chicago,IL,"Chicago, IL",-87.6297982,41.8781136,MidWest,Chicago
89,Murfreesboro,NC,"Murfreesboro, NC",-77.0985752,36.4423754,South,Chowan
90,Cincinnati,OH,"Cincinnati, OH",-84.5120196,39.1031182,MidWest,Cincinnati
91,Claremont,CA,"Claremont, CA",-117.7197785,34.0966764,Pacific,Claremont MS
92,Clarion,PA,"Clarion, PA",-79.3853218,41.2147851,MidAtlantic,Clarion
93,Worcester,MA,"Worcester, MA",-71.8022934,42.2625932,NewEngland,Clark
94,Potsdam,NY,"Potsdam, NY",-74.9813084,44.6697805,MidAtlantic,Clarkson
95,Cleveland,OH,"Cleveland, OH",-81.6943605,41.49932,MidWest,Cleveland State
96,New London,CT,"New London, CT",-72.0995209,41.3556539,NewEngland,Coast Guard
97,Cedar Rapids,IA,"Cedar Rapids, IA",-91.6656232,41.9778795,MidWest,Coe
98,Waterville,ME,"Waterville, ME",-69.6317121,44.5520105,NewEngland,Colby
99,New London,NH,"New London, NH",-71.975699,43.4284925,NewEngland,Colby-Sawyer
100,Hamilton,NY,"Hamilton, NY",-75.5446238,42.8270136,MidAtlantic,Colgate
